1945 3改 [FBA2012]/1945kiii.zip,1945 3 gai [FBA2012]
异形魂斗罗 [MAME2003]/aliens.zip,yi xing hun dou luo [MAME2003]
银色千年 [FBA]/silvmil.zip,yin se qian nian [FBA]
鹦鹉历险记 [FBA]/jjsquawk.zip,ying wu li xian ji [FBA]
影子传说 [MAME2003]/lkage.zip,ying zi chuan shuo [MAME2003]
宇宙巡航机 1 [MAME2000]/vulcan.zip,yu zhou xun hang ji 1 [MAME2000]
宇宙巡航机3 [mame2003]/gradius3.zip,yu zhou xun hang ji 3 [mame2003]
宇宙巡航机 [mame2003]/nemesis.zip,yu zhou xun hang ji [mame2003]
宇宙野兔日版 [FBA]/buckyjaa.zip,yu zhou ye tu ri ban [FBA]
原始岛(世界版) [MAME2000]/Prehisle.zip,yuan shi dao ( shi jie ban ) [MAME2000]
越战1975 [mame2003]/nam1975.zip,yue zhan 1975 [mame2003]
战斗原始人 [MAME2000]/cninja.zip,zhan dou yuan shi ren [MAME2000]
战斧 1 [MAME2003]/goldnaxe.zip,zhan fu 1 [MAME2003]
战斧 2 [MAME2003]/ga2j.zip,zhan fu 2 [MAME2003]
战火惊魂 1 [MAME2003]/gunforce.zip,zhan huo jing hun 1 [MAME2003]
战火惊魂 2 [MAME2003]/gunforc2.zip,zhan huo jing hun 2 [MAME2003]
征战者[FBA2012]/gaia.zip,zheng zhan zhe [FBA2012]
中东战争 [MAME2000]/silkworm.zip,zhong dong zhan zheng [MAME2000]
中华大仙 [mame2003]/chukatai.zip,zhong hua da xian [mame2003]
最后忍道 [MAME2003]/nspirit.zip,zui hou ren dao [MAME2003]
