HACK 魔法提琴手 无敌版.smc,HACK mo fa ti qin shou wu di ban.smc
HACK 魔兽王 无限血，命.sfc,HACK mo shou wang wu xian xue ， ming.sfc
HACK 南国少年 氣功人不減.smc,HACK nan guo shao nian qi gong ren bu jian.smc
HACK 庞克勇士 无限人.sfc,HACK pang ke yong shi wu xian ren.sfc
HACK 奇奇怪界1 无敌无限保护护身符超常时间.smc,HACK qi qi guai jie 1 wu di wu xian bao hu hu shen fu chao chang shi jian.smc
HACK 奇奇怪界2 无限命骑狮子无限命版.smc,HACK qi qi guai jie 2 wu xian ming qi shi zi wu xian ming ban.smc
HACK 热血硬派.smc,HACK re xue ying pai.smc
HACK 忍者神龟4 命无限.smc,HACK ren zhe shen gui 4 ming wu xian.smc
HACK 忍者战士牙 无敌版.smc,HACK ren zhe zhan shi ya wu di ban.smc
HACK 上海3  无限时.smc,HACK shang hai 3 wu xian shi.smc
HACK 太空战斗机 无限人数.sfc,HACK tai kong zhan dou ji wu xian ren shu.sfc
HACK 武装部队 无限人.smc,HACK wu zhuang bu dui wu xian ren.smc
HACK 消防员.smc,HACK xiao fang yuan.smc
HACK 银河风暴 命不减.sfc,HACK yin he feng bao ming bu jian.sfc
HACK 音速超人2.smc,HACK yin su chao ren 2.smc
HACK 圆桌武士 无限人.smc,HACK yuan zhuo wu shi wu xian ren.smc
HACK 战斗原始人2 无限人.sfc,HACK zhan dou yuan shi ren 2 wu xian ren.sfc
HACK 战斗原始人3 无限命血.sfc,HACK zhan dou yuan shi ren 3 wu xian ming xue.sfc
HACK 战斧黑水海盗 无限命.sfc,HACK zhan fu hei shui hai dao wu xian ming.sfc
HACK 战国传承1 接关次数无限.smc,HACK zhan guo chuan cheng 1 jie guan ci shu wu xian.smc
J计划.smc,J ji hua.smc
SD 飞龙之拳.smc,SD fei long zhi quan.smc
SD高达X.smc,SD gao da X.smc
X战警 变种末日.smc,X zhan jing bian zhong mo ri.smc
阿拉丁.sfc,a la ding.sfc
